sub_num,group,ses-1,ses-2,ses-3,ses-4
sub-1122,2,0.3699,-0.09216666666666667,-0.018590000000000006,0.033900000000000007
sub-1123,1,-0.03798,0.029890000000000003,0.38956666666666667,0.20140000000000002
sub-1124,2,0.1678,0.14191533333333334,0.18072999999999997,0.4016333333333333
sub-1126,1,0.1278,0.11293666666666667,-0.010579999999999997,0.010913333333333339
sub-1127,2,0.2093,0.16473333333333334,0.2663333333333333,0.3082666666666667
sub-1128,2,-0.10669999999999996,0.21866666666666665,0.09936666666666667,0.022779999999999984
sub-1130,1,-0.0315,0.11918000000000001,0.13204666666666667,0.25008
sub-1131,1,0.3255,0.33793333333333336,0.128523,0.14783333333333334
sub-1132,1,0.35206499999999996,0.05192,-0.03438333333333333,-0.09236899999999999
sub-1134,2,0.0417,0.19130000000000003,0.28253333333333336,0.19576666666666664
sub-1135,2,-0.04821,0.1691666666666667,0.23883333333333334,0.17961666666666667
sub-1136,2,,0.10032333333333333,-0.046066666666666665,0.11902
sub-1138,2,0.15605000000000002,0.16945333333333332,0.099922,0.059763333333333335
sub-1140,1,0.27503099999999997,0.2429666666666667,0.3209,0.4639666666666667
sub-1141,1,-0.1401,0.08148666666666667,0.1888766666666667,0.4132
sub-1144,1,0.312825,0.053630000000000004,-0.025975333333333336,0.12261
sub-1145,1,0.133,0.012499999999999992,0.19348999999999997,0.10332666666666666
sub-1147,2,-0.2452,-0.11318333333333334,0.11649666666666665,0.159033
sub-1148,2,0.338,0.40359999999999996,0.46403333333333335,0.21849
sub-1149,1,-0.2137,-0.029733333333333334,0.022650000000000003,0.00614
sub-1150,2,0.2593,0.12661999999999998,0.2168,0.013846666666666665
sub-1151,2,0.07548,-0.16960666666666668,0.011707666666666672,0.2437666666666667
sub-1154,1,,0.3366,0.09315,0.14434333333333335
sub-1155,1,-0.3676,0.26430333333333333,0.31555666666666665,0.17713333333333334
sub-1156,2,,0.22840000000000002,0.22366666666666668,0.3766
sub-1157,2,-0.2972,-0.06550666666666666,0.24127333333333334,0.027666666666666673
sub-1158,1,0.2052,0.23598666666666665,0.4848333333333333,0.23090000000000002
sub-1159,2,0.3411,0.12120000000000002,0.42017333333333334,0.20216999999999996
sub-1161,2,0.1821,0.021519999999999994,0.31593333333333334,0.27828
sub-1162,2,-0.2464,0.20947333333333332,0.3571,-0.02799666666666667
sub-1165,2,,0.164863,0.48690000000000005,0.25931666666666664
sub-1167,1,0.3227,0.17474,0.1280666666666667,0.26433333333333336
sub-1168,2,0.21855,0.08848666666666667,0.05566666666666667,0.1974243333333333
sub-1169,1,0.06364,-0.03923333333333332,-0.01558000000000002,0.026473333333333335
sub-1171,2,,0.014599999999999993,0.19663433333333336,0.13808333333333334
sub-1173,2,0.38295,0.21220666666666665,0.21861333333333333,0.019199999999999995
sub-1174,1,0.03396,0.25686666666666663,0.08065333333333333,0.15313000000000002
sub-1175,2,-0.20945,0.03966666666666666,0.2442133333333333,0.024703333333333338
sub-1176,1,0.007906,0.15411666666666665,0.16964333333333334,-0.043210000000000005
sub-1178,1,,0.0005949999999999914,0.17975249999999998,
sub-1179,1,,0.18027,0.28753333333333336,-0.05998666666666667
sub-1180,2,0.09788,-0.023633333333333322,0.18206666666666668,0.003303333333333334
sub-1181,1,0.15602000000000002,0.28406000000000003,-0.0025000000000000022,0.02973333333333333
sub-1182,1,0.6012,0.030639999999999997,0.382,0.2974
sub-1183,1,0.022844999999999997,0.07314,0.007966666666666677,0.12646666666666664
sub-1184,2,,-0.03879666666666667,0.08273666666666667,0.13526666666666665
sub-1185,1,,0.29002,0.05373333333333333,0.1004
sub-1188,2,0.19258,-0.027978333333333338,0.2399366666666667,0.06546
sub-1189,1,,0.32800666666666667,0.12145333333333332,0.2659
sub-1190,1,,0.11755499999999999,0.1954066666666667,0.10290666666666666
sub-1191,1,0.35692749999999995,-0.04616,0.13819,0.06997666666666666
sub-1193,1,0.4476,0.35575,0.40863333333333335,0.7011666666666666
sub-1195,2,,-0.09835,0.19011666666666668,-0.11753333333333334
sub-1196,2,0.828,-0.35723333333333335,-0.16878,0.1244
sub-1197,1,-0.01034,-0.054743333333333345,0.38433333333333336,0.34793333333333337
sub-1198,1,,0.38878749999999995,0.481525,0.5668333333333333
sub-1200,1,,-0.012365000000000001,0.1435525,0.07643666666666667
sub-1201,2,,0.5665666666666667,0.2247625,0.5223666666666665
sub-1202,1,0.2159,0.29986666666666667,0.344425,0.24470000000000003
sub-1203,2,,0.08420333333333334,0.042255,-0.043233333333333325
sub-1204,1,0.4561,0.12800999999999998,0.15635,-0.031678000000000005
sub-1205,1,,-0.0024824999999999986,-0.0391,0.16663333333333333
sub-1206,2,0.3297,0.36576666666666663,0.24860666666666664,0.42816666666666664
sub-1207,2,0.2103,0.20295,0.11602666666666667,0.22437666666666667
sub-1208,2,,0.1136575,0.18703999999999998,0.2711133333333333
sub-1209,2,0.1335,0.4648666666666667,0.14892333333333332,0.31439999999999996
sub-1210,2,0.1647,0.4409666666666667,0.7601333333333332,0.4519
sub-1211,1,,0.5267666666666667,0.27013333333333334,0.15126666666666666
