,sub_id,group,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11
sub-1122,1,2,0.2873,0.4525,-0.0457,-0.3774,0.1466,-0.1032,0.1281,-0.08067,0.6359,-0.1905,-0.3437
sub-1123,2,1,-0.03798,-0.1041,0.04517,0.1486,0.4369,0.5606,0.1712,0.1593,0.18,0.2649,
sub-1124,3,2,0.2265,0.1091,0.4464,-0.007454,-0.0132,0.3486,0.1024,0.09119,0.3541,0.4628,0.388
sub-1126,4,1,0.1359,0.1197,0.07429,-0.05598,0.3205,0.2475,0.09046,-0.3697,-0.08836,0.3153,-0.1942
sub-1127,5,2,0.2093,-0.1295,0.2816,0.3421,0.2902,0.2218,0.287,0.1985,0.2919,0.4344,
sub-1128,6,2,-0.5388,0.3254,-0.1679,0.346,0.4779,-0.1746,-0.1963,0.669,0.4995,-0.04216,-0.389
sub-1130,7,1,-0.1739,0.1109,0.379,-0.04606,0.0246,0.179,0.03664,0.1805,0.2705,0.5028,-0.02306
sub-1131,8,1,0.38,0.271,0.5161,0.2757,0.222,0.3225,0.07185,-0.008781,0.0262,0.2218,0.1955
sub-1132,9,1,0.7322,-0.02807,-0.2146,0.07466,0.2957,0.06612,-0.03737,-0.1319,0.000393,-0.4062,0.1287
sub-1134,10,2,-0.1333,0.2167,0.1317,0.2508,0.1914,0.1449,0.3469,0.3558,0.2802,0.0752,0.2319
sub-1135,11,2,-0.04821,0.1106,0.103,0.2939,0.2444,0.2538,0.2183,0.1337,0.4244,-0.01925,
sub-1136,12,2,-0.1331,0.04967,0.3844,-0.1421,0.1411,-0.1372,0.07558,-0.01532,0.2968,,
sub-1138,13,2,0.0869,0.2252,-0.02114,0.1281,0.4014,0.1244,-0.006834,0.1822,0.06982,0.04471,0.06476
sub-1140,14,1,0.004362,0.5457,-0.1166,0.1241,0.7214,0.3794,0.2155,0.3678,0.3215,0.5497,0.5207
sub-1141,15,1,-0.5413,0.2611,0.09121,0.2077,-0.05445,0.2136,0.3385,0.01453,0.6292,0.1972,
sub-1144,16,1,0.09935,0.5263,0.0195,0.06295,0.07844,-0.254,0.1818,-0.005726,0.08993,0.1327,0.1452
sub-1145,17,1,0.133,-0.0684,-0.2425,0.3484,0.1944,-0.01583,0.4019,0.08354,0.1664,0.06004,
sub-1147,18,2,-0.2452,0.04575,-0.4811,0.0958,-0.02621,0.2401,0.1356,-0.008401,0.1665,0.319,
sub-1148,19,2,0.338,0.624,0.2217,0.3651,0.4812,0.5722,0.3387,0.386,0.09707,0.1724,
sub-1149,20,1,-0.2137,-0.3581,0.0511,0.2178,-0.09509,0.05314,0.1099,-0.07687,0.08915,,
sub-1150,21,2,0.2593,0.1605,0.08246,0.1369,0.2942,0.18,0.1762,0.1303,-0.1802,0.09144,
sub-1151,22,2,0.07548,-0.1778,-0.03882,-0.2922,0.3422,0.008423,-0.3155,0.4268,0.1598,0.1447,
sub-1154,23,1,0.3393,0.1858,0.4847,0.116,0.1758,-0.01235,0.01873,0.1922,0.2221,,
sub-1155,24,1,-0.3676,0.09501,0.262,0.4359,0.2398,0.6576,0.04927,0.2213,0.1774,0.1327,
sub-1156,25,2,0.1121,0.3092,0.2639,0.4502,0.3335,-0.1127,0.2255,0.5656,0.3387,,
sub-1157,26,2,-0.4121,-0.1823,-0.1427,0.08158,-0.1354,0.4252,0.2214,0.07722,0.1306,-0.206,0.1584
sub-1158,27,1,0.2052,0.01746,0.2677,0.4228,0.3681,0.5321,0.5543,0.2298,0.2035,0.2594,
sub-1159,28,2,0.3411,0.2749,-0.1641,0.2528,0.5645,0.07512,0.6209,0.754,-0.02109,-0.1264,
sub-1161,29,2,0.1821,-0.2558,0.2994,0.02096,0.249,0.4125,0.2863,0.03034,0.5037,0.3008,
